checkpoint,required_N,actual_N,status,win_rate,net_R,expectancy,profit_factor,cost_adjusted_expectancy,max_drawdown,longest_losing_streak,top_asset_contribution_pct,best_trade_contribution_R,statistical_status,production_status,timestamp
N20,20,11,NOT_REACHED ⏳ (No Fabricated Data),,,,,,,,,,Pending Forward Trades,STRICTLY BLOCKED 🔴,2026-08-08T12:17:24.367381+00:00
N25,25,11,NOT_REACHED ⏳ (No Fabricated Data),,,,,,,,,,Pending Forward Trades,STRICTLY BLOCKED 🔴,2026-08-08T12:17:24.367404+00:00
N30,30,11,NOT_REACHED ⏳ (No Fabricated Data),,,,,,,,,,Pending Forward Trades,STRICTLY BLOCKED 🔴,2026-08-08T12:17:24.367409+00:00
N35,35,11,NOT_REACHED ⏳ (No Fabricated Data),,,,,,,,,,Pending Forward Trades,STRICTLY BLOCKED 🔴,2026-08-08T12:17:24.367413+00:00
N40,40,11,NOT_REACHED ⏳ (No Fabricated Data),,,,,,,,,,Pending Forward Trades,STRICTLY BLOCKED 🔴,2026-08-08T12:17:24.367417+00:00
N45,45,11,NOT_REACHED ⏳ (No Fabricated Data),,,,,,,,,,Pending Forward Trades,STRICTLY BLOCKED 🔴,2026-08-08T12:17:24.367421+00:00
N50,50,11,NOT_REACHED ⏳ (No Fabricated Data),,,,,,,,,,Pending Forward Trades,STRICTLY BLOCKED 🔴,2026-08-08T12:17:24.367425+00:00
N60,60,11,NOT_REACHED ⏳ (No Fabricated Data),,,,,,,,,,Pending Forward Trades,STRICTLY BLOCKED 🔴,2026-08-08T12:17:24.367429+00:00
N75,75,11,NOT_REACHED ⏳ (No Fabricated Data),,,,,,,,,,Pending Forward Trades,STRICTLY BLOCKED 🔴,2026-08-08T12:17:24.367433+00:00
N100,100,11,NOT_REACHED ⏳ (No Fabricated Data),,,,,,,,,,Pending Forward Trades,STRICTLY BLOCKED 🔴,2026-08-08T12:17:24.367437+00:00
N125,125,11,NOT_REACHED ⏳ (No Fabricated Data),,,,,,,,,,Pending Forward Trades,STRICTLY BLOCKED 🔴,2026-08-08T12:17:24.367447+00:00
N150,150,11,NOT_REACHED ⏳ (No Fabricated Data),,,,,,,,,,Pending Forward Trades,STRICTLY BLOCKED 🔴,2026-08-08T12:17:24.367451+00:00
N175,175,11,NOT_REACHED ⏳ (No Fabricated Data),,,,,,,,,,Pending Forward Trades,STRICTLY BLOCKED 🔴,2026-08-08T12:17:24.367455+00:00
N200,200,11,NOT_REACHED ⏳ (No Fabricated Data),,,,,,,,,,Pending Forward Trades,STRICTLY BLOCKED 🔴,2026-08-08T12:17:24.367458+00:00
