trade_id,signal_id,order_id,position_id,execution_timestamp,asset,direction,requested_price,execution_price,slippage_pts,volume,risk_R,account_mode,execution_status
V611_TR_0001,SIG_V611_1739,ORD_001001,POS_005001,2026-07-30 02:00:00+00:00,XAUUSD,BUY,4091.51,4091.51,0.0,0.1,1.0,DEMO,EXECUTED ✅
V611_TR_0002,SIG_V611_1767,ORD_001002,POS_005002,2026-07-30 11:15:00+00:00,GBPUSD,BUY,1.33556,1.33556,0.0,0.1,1.0,DEMO,EXECUTED ✅
V611_TR_0003,SIG_V611_1770,ORD_001003,POS_005003,2026-07-30 11:30:00+00:00,BTCUSD,BUY,64336.7,64336.7,0.0,0.1,1.0,DEMO,EXECUTED ✅
V611_TR_0004,SIG_V611_1771,ORD_001004,POS_005004,2026-07-30 11:30:00+00:00,XAUUSD,BUY,4065.69,4065.69,0.0,0.1,1.0,DEMO,EXECUTED ✅
V611_TR_0005,SIG_V611_1776,ORD_001005,POS_005005,2026-07-30 12:15:00+00:00,EURUSD,BUY,1.14605,1.14605,0.0,0.1,1.0,DEMO,EXECUTED ✅
V611_TR_0006,SIG_V611_1778,ORD_001006,POS_005006,2026-07-30 12:15:00+00:00,GBPUSD,BUY,1.3372,1.3372,0.0,0.1,1.0,DEMO,EXECUTED ✅
V611_TR_0007,SIG_V611_1780,ORD_001007,POS_005007,2026-07-30 12:30:00+00:00,BTCUSD,BUY,64581.7,64581.7,0.0,0.1,1.0,DEMO,EXECUTED ✅
V611_TR_0008,SIG_V611_1848,ORD_001008,POS_005008,2026-07-31 07:00:00+00:00,EURUSD,BUY,1.15121,1.15121,0.0,0.1,1.0,DEMO,EXECUTED ✅
V611_TR_0009,SIG_V611_1849,ORD_001009,POS_005009,2026-07-31 07:30:00+00:00,XAUUSD,BUY,4079.24,4079.24,0.0,0.1,1.0,DEMO,EXECUTED ✅
V611_TR_0010,SIG_V611_1864,ORD_001010,POS_005010,2026-07-31 10:15:00+00:00,BTCUSD,SELL,63974.8,63974.8,0.0,0.1,1.0,DEMO,EXECUTED ✅
V611_TR_0011,SIG_V611_1890,ORD_001011,POS_005011,2026-08-01 10:45:00+00:00,BTCUSD,SELL,63035.1,63035.1,0.0,0.1,1.0,DEMO,EXECUTED ✅
