trade_id,signal_id,timestamp,asset,direction,probability,threshold,entry_price,stop_loss,take_profit,result,gross_R,execution_cost_R,net_R,model_hash,feature_schema_hash,row_hash,previous_hash
V611_TR_0001,SIG_V611_1739,2026-07-30 02:00:00+00:00,XAUUSD,BUY,0.663079,0.6,4091.51,4064.800357142857,4171.6389285714295,0,-1.0,0.0125,-1.0125,900bd557402a,c7f17935a4ba,7ec23efd8f22cc192a07ba0a510b78a90e84d64e0f94842a2efc3ab273a5f57f,7ec23efd8f22cc192a07ba0a510b78a90e84d64e0f94842a2efc3ab273a5f57f
V611_TR_0002,SIG_V611_1767,2026-07-30 11:15:00+00:00,GBPUSD,BUY,0.660539,0.6,1.33556,1.333161785714286,1.3427546428571426,1,2.0,1.0137,0.9863,900bd557402a,c7f17935a4ba,a29a4032e8603a1630bb88f0c04973087f528737436a41966e8e2b330f312458,0247e9f1fa0d596b89e9a9718002f4d42e7e14749f433d4d2f1b80bbebf9ed2b
V611_TR_0003,SIG_V611_1770,2026-07-30 11:30:00+00:00,BTCUSD,BUY,0.611418,0.6,64336.7,63895.7125,65659.66249999998,0,-1.0,0.051,-1.051,900bd557402a,c7f17935a4ba,9a0c3fc4b6a28aee84d56370d52dd97e5ab8672e5840dd6ed226e28bebfe17e7,938c04c77cdea360ec1cdef752ca1b00690f4caa8166bad3d1067a820aef65d4
V611_TR_0004,SIG_V611_1771,2026-07-30 11:30:00+00:00,XAUUSD,BUY,0.611418,0.6,4065.69,4031.035,4169.655000000001,0,-1.0,0.0089,-1.0089,900bd557402a,c7f17935a4ba,d2bae009183a452a985d5b782f581b134a6e22c2474140e205b58b7013afef44,3b412bad1d80d45e0dfca6b841b98bee104c398359b9c24649a347831056f3b5
V611_TR_0005,SIG_V611_1776,2026-07-30 12:15:00+00:00,EURUSD,BUY,0.704743,0.6,1.14605,1.1442125,1.1515624999999998,1,2.0,1.0618,0.9382,900bd557402a,c7f17935a4ba,5dc737e9812e913e34f1da9a9c3c12e946db6d73eb57e262c992f49fe92bc976,187a8d9852175553710faf12aac129a02d491527af9683e13212020cd662b6cb
V611_TR_0006,SIG_V611_1778,2026-07-30 12:15:00+00:00,GBPUSD,BUY,0.692767,0.6,1.3372,1.3348025,1.3443924999999994,1,2.0,1.014,0.986,900bd557402a,c7f17935a4ba,16f4efd73b894aefafea88a76d361b5f3f374c7f25da4ca6d917694d3fd1f192,104d465637efe9fe7e45551facfb5511819884a5bc07eb68ad3b31e5cddf1485
V611_TR_0007,SIG_V611_1780,2026-07-30 12:30:00+00:00,BTCUSD,BUY,0.642207,0.6,64581.7,64207.14642857143,65705.36071428572,0,-1.0,0.0601,-1.0601,900bd557402a,c7f17935a4ba,361492d92fececa480bd2c5e66b9f72cbdcf0510f8efcacc93f70b8c0ec4b094,8248f5094f3881150216f576ad7b58ac92dac5c75aacf445876ada6176fc6612
V611_TR_0008,SIG_V611_1848,2026-07-31 07:00:00+00:00,EURUSD,BUY,0.658517,0.6,1.15121,1.1503210714285714,1.153876785714286,0,-1.0,2.2465,-3.2465,900bd557402a,c7f17935a4ba,bef3b7d90354e5a97d88c96a57eaa9dd9ee8bf7e136f53b795d524abecdc66fa,599050193c95c68cb6f2de05a26ac6227a3ffcbf0d54c5ec377c4e3b5d178f62
V611_TR_0009,SIG_V611_1849,2026-07-31 07:30:00+00:00,XAUUSD,BUY,0.660017,0.6,4079.24,4070.445714285714,4105.622857142856,0,-1.0,0.0321,-1.0321,900bd557402a,c7f17935a4ba,2b3c9d0225107f877da2c518aacedf23ea8c9424723890574cbbf3076034044d,183fbcc2799a2f3790ace649f105b79563741bc5449278b4d3794b8f1bfefe94
V611_TR_0010,SIG_V611_1864,2026-07-31 10:15:00+00:00,BTCUSD,SELL,0.611418,0.6,63974.8,64321.142857142855,62935.77142857145,1,2.0,0.065,1.935,900bd557402a,c7f17935a4ba,5aaf3cb08759ff5184d49eecd2f6864437c839a25a9de22efb627ce7f9bf4c6b,2951e6e0f9f4d83d794af16999fe4d819c3b9f225123f4f4b36952fad293f806
V611_TR_0011,SIG_V611_1890,2026-08-01 10:45:00+00:00,BTCUSD,SELL,0.632269,0.6,63035.1,63090.57142857143,62868.68571428571,0,-1.0,0.4056,-1.4056,900bd557402a,c7f17935a4ba,2633e8a7458faf3e7f364aab914ef3e058fcd0f58767682160e0a38735b26cba,135208c306f2c5c447494c12798e2bcf5831006384786d49089cc05adc0def77
