trade_id,signal_id,lifecycle_state,entry_time,exit_time,symbol,result_type,gross_R,execution_cost_R,net_R,result
V611_TR_0001,SIG_V611_1739,CLOSED,2026-07-30 02:00:00+00:00,2026-07-30 05:45:00+00:00,XAUUSD,SL,-1.0,0.0125,-1.0125,0
V611_TR_0002,SIG_V611_1767,CLOSED,2026-07-30 11:15:00+00:00,2026-07-30 17:00:00+00:00,GBPUSD,TP,2.0,1.0137,0.9863,1
V611_TR_0003,SIG_V611_1770,CLOSED,2026-07-30 11:30:00+00:00,2026-07-30 21:30:00+00:00,BTCUSD,SL,-1.0,0.051,-1.051,0
V611_TR_0004,SIG_V611_1771,CLOSED,2026-07-30 11:30:00+00:00,2026-07-30 21:30:00+00:00,XAUUSD,SL,-1.0,0.0089,-1.0089,0
V611_TR_0005,SIG_V611_1776,CLOSED,2026-07-30 12:15:00+00:00,2026-07-30 16:45:00+00:00,EURUSD,TP,2.0,1.0618,0.9382,1
V611_TR_0006,SIG_V611_1778,CLOSED,2026-07-30 12:15:00+00:00,2026-07-30 17:00:00+00:00,GBPUSD,TP,2.0,1.014,0.986,1
V611_TR_0007,SIG_V611_1780,CLOSED,2026-07-30 12:30:00+00:00,2026-07-30 22:30:00+00:00,BTCUSD,SL,-1.0,0.0601,-1.0601,0
V611_TR_0008,SIG_V611_1848,CLOSED,2026-07-31 07:00:00+00:00,2026-07-31 12:30:00+00:00,EURUSD,SL,-1.0,2.2465,-3.2465,0
V611_TR_0009,SIG_V611_1849,CLOSED,2026-07-31 07:30:00+00:00,2026-07-31 10:30:00+00:00,XAUUSD,SL,-1.0,0.0321,-1.0321,0
V611_TR_0010,SIG_V611_1864,CLOSED,2026-07-31 10:15:00+00:00,2026-07-31 17:00:00+00:00,BTCUSD,TP,2.0,0.065,1.935,1
V611_TR_0011,SIG_V611_1890,CLOSED,2026-08-01 10:45:00+00:00,2026-08-01 11:30:00+00:00,BTCUSD,SL,-1.0,0.4056,-1.4056,0
