checkpoint,required_N,actual_N,wins,losses,win_rate,wilson_ci_95,net_r,expectancy,profit_factor,realized_expectancy,max_dd,status
N20,20,11,,,,,,,,,,NOT_REACHED ⏳ (No Fabricated Data)
N25,25,11,,,,,,,,,,NOT_REACHED ⏳ (No Fabricated Data)
N30,30,11,,,,,,,,,,NOT_REACHED ⏳ (No Fabricated Data)
N35,35,11,,,,,,,,,,NOT_REACHED ⏳ (No Fabricated Data)
N40,40,11,,,,,,,,,,NOT_REACHED ⏳ (No Fabricated Data)
N45,45,11,,,,,,,,,,NOT_REACHED ⏳ (No Fabricated Data)
N50,50,11,,,,,,,,,,NOT_REACHED ⏳ (No Fabricated Data)
N60,60,11,,,,,,,,,,NOT_REACHED ⏳ (No Fabricated Data)
N75,75,11,,,,,,,,,,NOT_REACHED ⏳ (No Fabricated Data)
N100,100,11,,,,,,,,,,NOT_REACHED ⏳ (No Fabricated Data)
N125,125,11,,,,,,,,,,NOT_REACHED ⏳ (No Fabricated Data)
N150,150,11,,,,,,,,,,NOT_REACHED ⏳ (No Fabricated Data)
N175,175,11,,,,,,,,,,NOT_REACHED ⏳ (No Fabricated Data)
N200,200,11,,,,,,,,,,NOT_REACHED ⏳ (No Fabricated Data)
