N,assumed_expectancy,assumed_win_rate,statistical_power_pct
30,0.0,33.33,5.0
30,0.05,35.0,7.57
30,0.1,36.67,10.93
30,0.15,38.33,15.11
30,0.2,40.0,20.12
50,0.0,33.33,5.0
50,0.05,35.0,8.4
50,0.1,36.67,13.14
50,0.15,38.33,19.28
50,0.2,40.0,26.75
75,0.0,33.33,5.0
75,0.05,35.0,9.29
75,0.1,36.67,15.62
75,0.15,38.33,24.07
75,0.2,40.0,34.3
100,0.0,33.33,5.0
100,0.05,35.0,10.09
100,0.1,36.67,17.95
100,0.15,38.33,28.56
100,0.2,40.0,41.22
150,0.0,33.33,5.0
150,0.05,35.0,11.55
150,0.1,36.67,22.31
150,0.15,38.33,36.87
150,0.2,40.0,53.34
200,0.0,33.33,5.0
200,0.05,35.0,12.89
200,0.1,36.67,26.41
200,0.15,38.33,44.42
200,0.2,40.0,63.37
