n,wins,losses,win_rate,gross_profit,gross_loss,net_r,expectancy,profit_factor,realized_net_r,realized_expectancy,max_dd,symbol,total_setups,class
31,6,25,19.35,18.0,25.0,-7.0,-0.2258,0.72,-92.51,-2.9843,91.32,AUDUSD,131,C (Negative Evidence)
33,7,26,21.21,21.0,26.0,-5.0,-0.1515,0.8077,-8.72,-0.2644,11.45,BTCUSD,203,C (Negative Evidence)
34,7,27,20.59,21.0,27.0,-6.0,-0.1765,0.7778,-6.12,-0.1799,15.11,ETHUSD,185,C (Negative Evidence)
35,10,25,28.57,30.0,25.0,5.0,0.1429,1.2,-118.11,-3.3747,114.26,EURGBP,129,A (Positive & Sampled)
24,6,18,25.0,18.0,18.0,0.0,0.0,1.0,-48.54,-2.0226,48.31,EURUSD,127,C (Negative Evidence)
29,11,18,37.93,33.0,18.0,15.0,0.5172,1.8333,-36.19,-1.2481,35.19,GBPUSD,143,A (Positive & Sampled)
13,1,12,7.69,3.0,12.0,-9.0,-0.6923,0.25,-9.26,-0.7123,9.17,GOLD,101,C (Negative Evidence)
38,10,28,26.32,30.0,28.0,2.0,0.0526,1.0714,-110.23,-2.9007,104.96,NZDUSD,144,A (Positive & Sampled)
32,5,27,15.62,15.0,27.0,-12.0,-0.375,0.5556,-112.42,-3.5132,108.97,USDCAD,157,C (Negative Evidence)
27,5,22,18.52,15.0,22.0,-7.0,-0.2593,0.6818,-80.53,-2.9824,79.17,USDCHF,141,C (Negative Evidence)
23,8,15,34.78,24.0,15.0,9.0,0.3913,1.6,8.44,0.3667,9.24,USDJPY,134,A (Positive & Sampled)
13,1,12,7.69,3.0,12.0,-9.0,-0.6923,0.25,-9.26,-0.7123,9.17,XAUUSD,101,C (Negative Evidence)
48,16,32,33.33,48.0,32.0,16.0,0.3333,1.5,-429.84,-8.9549,424.24,XRPUSD,210,A (Positive & Sampled)
