rr_target,horizon_bars,val_setups,sim_wins,sim_win_rate,sim_expectancy,breakeven_win_rate
1:1.5,10,381,29,7.61,-0.8097,40.0
1:1.5,20,381,29,7.61,-0.8097,40.0
1:1.5,30,381,29,7.61,-0.8097,40.0
1:1.5,40,381,29,7.61,-0.8097,40.0
1:1.5,60,381,29,7.61,-0.8097,40.0
1:2.0,10,381,29,7.61,-0.7717,33.33
1:2.0,20,381,29,7.61,-0.7717,33.33
1:2.0,30,381,29,7.61,-0.7717,33.33
1:2.0,40,381,29,7.61,-0.7717,33.33
1:2.0,60,381,29,7.61,-0.7717,33.33
1:2.5,10,381,29,7.61,-0.7336,28.57
1:2.5,20,381,29,7.61,-0.7336,28.57
1:2.5,30,381,29,7.61,-0.7336,28.57
1:2.5,40,381,29,7.61,-0.7336,28.57
1:2.5,60,381,29,7.61,-0.7336,28.57
1:3.0,10,381,29,7.61,-0.6955,25.0
1:3.0,20,381,29,7.61,-0.6955,25.0
1:3.0,30,381,29,7.61,-0.6955,25.0
1:3.0,40,381,29,7.61,-0.6955,25.0
1:3.0,60,381,29,7.61,-0.6955,25.0
