bin,n,wins,losses,win_rate,wilson_ci_95,gross_profit,gross_loss,net_r,expectancy,profit_factor
"[0.00, 0.10)",26,3,23,11.54,"[4.0%, 28.98%]",9.0,23.0,-14.0,-0.5385,0.3913
"[0.10, 0.20)",51,2,49,3.92,"[1.08%, 13.22%]",6.0,49.0,-43.0,-0.8431,0.1224
"[0.20, 0.30)",100,4,96,4.0,"[1.57%, 9.84%]",12.0,96.0,-84.0,-0.84,0.125
"[0.30, 0.40)",44,9,35,20.45,"[11.15%, 34.5%]",27.0,35.0,-8.0,-0.1818,0.7714
"[0.40, 0.50)",45,4,41,8.89,"[3.51%, 20.73%]",12.0,41.0,-29.0,-0.6444,0.2927
"[0.50, 0.60)",28,0,28,0.0,"[0.0%, 12.06%]",0.0,28.0,-28.0,-1.0,0.0
"[0.60, 0.70)",32,3,29,9.38,"[3.24%, 24.22%]",9.0,29.0,-20.0,-0.625,0.3103
"[0.70, 0.80)",54,4,50,7.41,"[2.92%, 17.55%]",12.0,50.0,-38.0,-0.7037,0.24
"[0.80, 0.90)",1,0,1,0.0,"[0.0%, 79.35%]",0.0,1.0,-1.0,-1.0,0.0
"[0.90, 1.00)",0,0,0,0.0,"[0.0%, 0.0%]",0.0,0.0,0.0,0.0,0.0
