n,wins,losses,win_rate,gross_profit,gross_loss,net_r,expectancy,profit_factor,realized_net_r,realized_expectancy,max_dd,threshold,wilson_ci_95
160,11,149,6.88,33.0,149.0,-116.0,-0.725,0.2215,-636.36,-3.9773,636.9,0.4,"[3.88%, 11.89%]"
145,10,135,6.9,30.0,135.0,-105.0,-0.7241,0.2222,-572.95,-3.9514,573.49,0.45,"[3.79%, 12.23%]"
115,7,108,6.09,21.0,108.0,-87.0,-0.7565,0.1944,-459.13,-3.9924,458.11,0.5,"[2.98%, 12.03%]"
100,7,93,7.0,21.0,93.0,-72.0,-0.72,0.2258,-389.29,-3.8929,388.27,0.55,"[3.43%, 13.75%]"
87,7,80,8.05,21.0,80.0,-59.0,-0.6782,0.2625,-341.91,-3.93,340.89,0.6,"[3.95%, 15.69%]"
76,5,71,6.58,15.0,71.0,-56.0,-0.7368,0.2113,-338.15,-4.4494,333.69,0.65,"[2.84%, 14.49%]"
55,4,51,7.27,12.0,51.0,-39.0,-0.7091,0.2353,-277.51,-5.0456,273.04,0.7,"[2.86%, 17.26%]"
22,1,21,4.55,3.0,21.0,-18.0,-0.8182,0.1429,-110.66,-5.0299,106.82,0.75,"[0.81%, 21.8%]"
1,0,1,0.0,0.0,1.0,-1.0,-1.0,0.0,-3.71,-3.7122,0.0,0.8,"[0.0%, 79.35%]"
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.85,"[0.0%, 0.0%]"
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.9,"[0.0%, 0.0%]"
