trade_id,timestamp_signal,timestamp_entry,timestamp_exit,symbol,timeframe,session,probability,threshold,model_version,model_hash,feature_schema_hash,entry_price,stop_loss,take_profit,spread,slippage,execution_delay,gross_R,execution_cost_R,net_R,result,holding_time,volatility_regime,market_regime,source_dataset,oos_status,row_sha256,cumulative_hash
V69_TR_0001,2026-07-30 02:00:00+00:00,2026-07-30 02:00:00+00:00,2026-07-30 05:45:00+00:00,XAUUSD,M15,Asian,0.663079,0.6,v6.0_real_data,900bd557402af59fd7a7e4bb6be5938a2d908213d874d0140d86847d31a6af05,c7f17935a4ba,4091.51,4064.800357142857,4171.6389285714295,33.32,0.0,0,-1.0,0.0125,-1.0125,0,40,Normal,Trending,Holdout_Unseen_Parquet,FORWARD_OOS,435b2c99dad0295658ebf03842a814ae8c44ed2a04ed1e85544ff6547440edc5,435b2c99dad0295658ebf03842a814ae8c44ed2a04ed1e85544ff6547440edc5
V69_TR_0002,2026-07-30 11:15:00+00:00,2026-07-30 11:15:00+00:00,2026-07-30 17:00:00+00:00,GBPUSD,M15,London,0.660539,0.6,v6.0_real_data,900bd557402af59fd7a7e4bb6be5938a2d908213d874d0140d86847d31a6af05,c7f17935a4ba,1.33556,1.333161785714286,1.3427546428571426,24.31,0.0,0,2.0,1.0137,0.9863,1,40,Normal,Trending,Holdout_Unseen_Parquet,FORWARD_OOS,1a52e0a5868f8198182d98c8f4872581bce945810bba430cb0058fd79363c631,07c543ff51cbb21a540c6070d8b051b50c090527fa8fec07d2f544187fc4e17d
V69_TR_0003,2026-07-30 11:30:00+00:00,2026-07-30 11:30:00+00:00,2026-07-30 21:30:00+00:00,BTCUSD,M15,London,0.611418,0.6,v6.0_real_data,900bd557402af59fd7a7e4bb6be5938a2d908213d874d0140d86847d31a6af05,c7f17935a4ba,64336.7,63895.7125,65659.66249999998,2250.0,0.0,0,-1.0,0.051,-1.051,0,40,Normal,Trending,Holdout_Unseen_Parquet,FORWARD_OOS,cfb67f6e2c0fdc1be7424f0d65c5d5c71c38b0c25b7aa8f814e0da3f8a04f176,519872eabe1ec6c91d717ff62fe99d3dd79efa5ba4a6d333d8f2509d21457d14
V69_TR_0004,2026-07-30 11:30:00+00:00,2026-07-30 11:30:00+00:00,2026-07-30 21:30:00+00:00,XAUUSD,M15,London,0.611418,0.6,v6.0_real_data,900bd557402af59fd7a7e4bb6be5938a2d908213d874d0140d86847d31a6af05,c7f17935a4ba,4065.69,4031.035,4169.655000000001,30.69,0.0,0,-1.0,0.0089,-1.0089,0,40,Normal,Trending,Holdout_Unseen_Parquet,FORWARD_OOS,db4b033057afc272b6ef9ffc8aa65cd594c2c7910485060504a54ed4ed6d7681,3ee92db4e4c19e4f694a8fc7622b3bda67de2240c0cb6f3f54c23c9cfd35cef7
V69_TR_0005,2026-07-30 12:15:00+00:00,2026-07-30 12:15:00+00:00,2026-07-30 16:45:00+00:00,EURUSD,M15,London/NY Overlap,0.704743,0.6,v6.0_real_data,900bd557402af59fd7a7e4bb6be5938a2d908213d874d0140d86847d31a6af05,c7f17935a4ba,1.14605,1.1442125,1.1515624999999998,19.51,0.0,0,2.0,1.0618,0.9382,1,40,Normal,Trending,Holdout_Unseen_Parquet,FORWARD_OOS,c07fa1e4fa29fe23307d94add7c14e96370417cdfaf9ac00d662834a81924425,34f8e310af1f984fdb038f8bed8c0daa751148e63a96d13f567509a6882ebd29
V69_TR_0006,2026-07-30 12:15:00+00:00,2026-07-30 12:15:00+00:00,2026-07-30 17:00:00+00:00,GBPUSD,M15,London/NY Overlap,0.692767,0.6,v6.0_real_data,900bd557402af59fd7a7e4bb6be5938a2d908213d874d0140d86847d31a6af05,c7f17935a4ba,1.3372,1.3348025,1.3443924999999994,24.31,0.0,0,2.0,1.014,0.986,1,40,Normal,Trending,Holdout_Unseen_Parquet,FORWARD_OOS,870886d6f42a195fdc4d6c1013a3c2eb6dcfddd4218b04930839c86300496404,fa953e5b29526368df8591653eb9cbdfd52a8962c8a61f059a7bb31c5c2643b2
V69_TR_0007,2026-07-30 12:30:00+00:00,2026-07-30 12:30:00+00:00,2026-07-30 22:30:00+00:00,BTCUSD,M15,London/NY Overlap,0.642207,0.6,v6.0_real_data,900bd557402af59fd7a7e4bb6be5938a2d908213d874d0140d86847d31a6af05,c7f17935a4ba,64581.7,64207.14642857143,65705.36071428572,2250.0,0.0,0,-1.0,0.0601,-1.0601,0,40,Normal,Trending,Holdout_Unseen_Parquet,FORWARD_OOS,33a6454a14ff73852ca8622fa3725309ce2b2a9a847497242bbed935c2537f15,e0276b1b334bb6d52bb720e95fe721aa17bba7e4a8f9e9e4e93384bed1235cab
V69_TR_0008,2026-07-31 07:00:00+00:00,2026-07-31 07:00:00+00:00,2026-07-31 12:30:00+00:00,EURUSD,M15,London,0.658517,0.6,v6.0_real_data,900bd557402af59fd7a7e4bb6be5938a2d908213d874d0140d86847d31a6af05,c7f17935a4ba,1.15121,1.1503210714285714,1.153876785714286,19.97,0.0,0,-1.0,2.2465,-3.2465,0,40,Normal,Trending,Holdout_Unseen_Parquet,FORWARD_OOS,f4039f1e426c1cc6c1e8b8404c8aed874c25ea770431bf0b962bebb0d9b20043,8fac92943c17d535a3604583a890c09d6817f974ff79145af0da260b47594e77
V69_TR_0009,2026-07-31 07:30:00+00:00,2026-07-31 07:30:00+00:00,2026-07-31 10:30:00+00:00,XAUUSD,M15,London,0.660017,0.6,v6.0_real_data,900bd557402af59fd7a7e4bb6be5938a2d908213d874d0140d86847d31a6af05,c7f17935a4ba,4079.24,4070.445714285714,4105.622857142856,28.19,0.0,0,-1.0,0.0321,-1.0321,0,40,Normal,Trending,Holdout_Unseen_Parquet,FORWARD_OOS,a7ccd93b18355d49534327e7d5fe96713f584c9244e7804dd481162c3b158a8d,4e3e39b0838e98881e2ee7a3f5a154a1928959a337dbed93a6d74aff07703655
V69_TR_0010,2026-07-31 10:15:00+00:00,2026-07-31 10:15:00+00:00,2026-07-31 17:00:00+00:00,BTCUSD,M15,London,0.611418,0.6,v6.0_real_data,900bd557402af59fd7a7e4bb6be5938a2d908213d874d0140d86847d31a6af05,c7f17935a4ba,63974.8,64321.142857142855,62935.77142857145,2250.0,0.0,0,2.0,0.065,1.935,1,40,Normal,Trending,Holdout_Unseen_Parquet,FORWARD_OOS,557afe91173873d38bad2dc3c900575c0a21f6f8f2d58f10e2a3134001591e4f,5fc7d8fb5e467034df7887726ac488f707ac6bbdb7cf62832723032e42d27054
V69_TR_0011,2026-08-01 10:45:00+00:00,2026-08-01 10:45:00+00:00,2026-08-01 11:30:00+00:00,BTCUSD,M15,London,0.632269,0.6,v6.0_real_data,900bd557402af59fd7a7e4bb6be5938a2d908213d874d0140d86847d31a6af05,c7f17935a4ba,63035.1,63090.57142857143,62868.68571428571,2250.0,0.0,0,-1.0,0.4056,-1.4056,0,40,Normal,Trending,Holdout_Unseen_Parquet,FORWARD_OOS,d10426c71a0e56962d0a4f8a7c63ff80a8606978e2f0bc95940f428a11a0ac4e,393902d1af1923ee5d098b03f4e1217996a5397daf5f579b99fff0c067adcc9e
